"idperi","dtperidebut","dtperifin","nbperimaxinscription","oh_date_cre","oh_vis_cre","oh_date_mod","oh_vis_mod","cdperiapplication"
"21","2024-01-23","2024-01-26","6","2024-01-22T00:00:00","aymen","NULL","NULL","ADHESION"
"1","2024-05-01","2024-10-31","5","2023-11-20T00:00:00","aymen","2024-05-03T16:09:00.611993","aymen","COURS"
